run_id,date,portfolio_real_value,benchmark1_name,benchmark1_real_value,benchmark2_name,benchmark2_real_value,portfolio_daily_return,benchmark1_daily_return,benchmark2_daily_return,portfolio_accum_return,benchmark1_accum_return,benchmark2_accum_return,portfolio_composition
20260409-200414,2018-02-01,10142.537723638294,^BVSP,85495.0,,,0.014326478204352858,0.00685407417003292,0.0,4132.419743570735,1801.753387705215,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7726000547409058}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.572499990463257}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 22.1299991607666}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 20.520000457763672}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.790000915527344}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.593042373657227}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.5}}"
20260409-200414,2018-02-02,9995.190101854449,^BVSP,84041.0,,,-0.014527687823180138,-0.017006842505409625,0.0,4072.385239581792,1771.111251606924,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7300000190734863}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.549999952316284}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 21.540000915527344}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.969999313354492}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 40.79999923706055}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.212947845458984}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.5}}"
20260409-200414,2018-02-05,9820.319514492388,^BVSP,81861.0,,,-0.017495473880943618,-0.025939719898620872,0.0,4001.136929989548,1725.1691218309447,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.6895999908447266}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.5}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.56999969482422}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.040000915527344}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 40.349998474121094}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.17335319519043}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.100000381469727}}"
20260409-200414,2018-02-06,9919.806171968057,^BVSP,83894.0,,,0.010130694559260611,0.024834780909102072,0.0,4041.6712261170496,1768.013319002764,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.6097999811172483}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.4625000953674316}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 21.600000381469727}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.989999771118164}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 42.470001220703125}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 19.171106338500977}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.0}}"
20260409-200414,2018-02-07,9872.668681495734,^BVSP,82767.0,,,-0.00475185599951796,-0.013433618613965193,0.0,4022.4657864531455,1744.2625023708702,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.600000023841858}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.4800000190734863}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.979999542236328}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.440000534057617}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.709999084472656}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 19.69373893737793}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.0}}"
20260409-200414,2018-02-08,9829.807100438205,^BVSP,81533.0,,,-0.004341438210912943,-0.014909323764302207,0.0,4005.002499785748,1718.2567279930909,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.559999942779541}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.5225000381469727}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.350000381469727}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.049999237060547}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.59000015258789}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 20.248046875}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.0}}"
20260409-200414,2018-02-09,9758.579072762277,^BVSP,80899.0,,,-0.007246126698941151,-0.007775992542896737,0.0,3975.9817442427243,1704.8955764894345,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.5535999536514282}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.490000009536743}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.09000015258789}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 18.770000457763672}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 42.0}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 19.71749496459961}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.0}}"
20260409-200414,2018-02-12,9758.579072762277,^BVSP,80899.0,,,0.0,0.0,0.0,3975.9817442427243,1704.8955764894345,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": null}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": null}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": null}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": null}, ""VALE3.SA"": {""weight"": 0.065, ""value"": null}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": null}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": null}}"
20260409-200414,2018-02-13,9758.579072762277,^BVSP,80899.0,,,0.0,0.0,0.0,3975.9817442427243,1704.8955764894345,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": null}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": null}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": null}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": null}, ""VALE3.SA"": {""weight"": 0.065, ""value"": null}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": null}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": null}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": null}}"
20260409-200414,2018-02-14,9758.579072762277,^BVSP,83543.0,,,0.0,0.03268272784583237,0.0,3975.9817442427243,1760.6162146214022,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.6380000114440918}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.5399999618530273}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.3799991607666}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.25}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 44.5099983215332}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 19.796680450439453}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.0}}"
20260409-200414,2018-02-15,9755.21249781743,^BVSP,84291.0,,,-0.00034498618290071696,0.008953473061776629,0.0,3974.610085477495,1776.379844471142,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.6308000087738037}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.5}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.729999542236328}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.399999618530273}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 45.95000076293945}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 19.78084373474121}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 25.010000228881836}}"
