run_id,run_timestamp,symbol,avg_weight,total_contribution,volatility,beta,realized_return,observations
20260409-200414,2026-04-09 20:22:31,PRIO3.SA,0.173,1.2688966909590098,0.6416899413744006,,210.89769536207808,2560
20260409-200414,2026-04-09 20:22:31,ENEV3.SA,0.1416,0.4913609121640979,0.4351194845784017,,11.411735519940624,2560
20260409-200414,2026-04-09 20:22:31,PETR3.SA,0.0031,0.015252448110093148,0.8146446384507844,,16.727933593841694,2560
20260409-200414,2026-04-09 20:22:31,PETR4.SA,0.2156,0.9678684456429518,0.6980424954638251,,14.54079248832787,2560
20260409-200414,2026-04-09 20:22:31,VALE3.SA,0.065,0.273161897284123,0.5062541732939614,,21.066521594861594,2560
20260409-200414,2026-04-09 20:22:31,PNVL3.SA,0.1065,0.20932564124777925,0.3657068448253701,,2.6160871073077976,2560
20260409-200414,2026-04-09 20:22:31,AXIA6.SA,0.1016,0.327688488683056,0.43283645444170443,,9.174882193368664,2459
20260409-200414,2026-04-09 20:22:31,AURA33.SA,0.1701,0.4847966273592815,0.4207921450769112,,9.604633253110014,1387
20260409-200414,2026-04-09 20:22:31,DASA3.SA,0.0236,0.017331000681687005,0.6011657303228902,,-0.672721655045891,2560
STAB_20260409_2059_9,2026-04-10 23:04:59,DASA3.SA,0.0183,0.011487752654889494,0.6022325479902477,,-0.6999327823940364,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,AXIA6.SA,0.1087,0.33007409587797265,0.43454026730730017,,7.1974306168567495,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,ENEV3.SA,0.1292,0.3498530283941259,0.377289122191112,,6.428571428571459,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,PETR4.SA,0.2089,0.5881154652125354,0.43287813940183395,,5.412316314757243,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,PRIO3.SA,0.1416,1.084929327859254,0.6321391370419344,,323.00987460083127,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,VALE3.SA,0.1123,0.27790881484894303,0.3858834446228184,,4.634730801466529,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,PNVL3.SA,0.1185,0.1318748020904587,0.35923029214805574,,0.6004084153303797,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,AURA33.SA,0.1625,0.45334458250638365,0.42563741818597634,,8.70381923151542,1434
STAB_20260409_2059_9,2026-04-13 21:07:51,DASA3.SA,0.0183,0.013726786277732873,0.600943981437712,,-0.6675595410875251,2562
STAB_20260409_2059_9,2026-04-13 21:07:51,AXIA6.SA,0.1087,0.35662315292756863,0.4328571912258155,,9.746303081221686,2461
STAB_20260409_2059_9,2026-04-13 21:07:51,ENEV3.SA,0.1292,0.4527106104758848,0.4350287733477676,,11.834589444581194,2562
STAB_20260409_2059_9,2026-04-13 21:07:51,PETR4.SA,0.2089,0.9485006275474266,0.697850814018557,,15.347672747354515,2562
STAB_20260409_2059_9,2026-04-13 21:07:51,PRIO3.SA,0.1416,1.0463301601984536,0.6415371645721666,,222.63306951344444,2562
STAB_20260409_2059_9,2026-04-13 21:07:51,VALE3.SA,0.1123,0.4719522575367337,0.5060786728466184,,21.066521594861594,2562
STAB_20260409_2059_9,2026-04-13 21:07:51,PNVL3.SA,0.1185,0.2367671834899153,0.3658947212190641,,2.731121699487337,2562
STAB_20260409_2059_9,2026-04-13 21:07:51,AURA33.SA,0.1625,0.4726960294320423,0.42084639694479525,,10.236824805538205,1389
STAB_20260409_2059_9,2026-04-13 22:49:07,DASA3.SA,0.0183,0.013726786277732873,0.600943981437712,,-0.6675595410875251,2562
STAB_20260409_2059_9,2026-04-13 22:49:07,AXIA6.SA,0.1087,0.35662315292756863,0.4328571912258155,,9.746303081221686,2461
STAB_20260409_2059_9,2026-04-13 22:49:07,ENEV3.SA,0.1292,0.4527106104758848,0.4350287733477676,,11.834589444581194,2562
STAB_20260409_2059_9,2026-04-13 22:49:07,PETR4.SA,0.2089,0.9485006275474266,0.697850814018557,,15.347672747354515,2562
STAB_20260409_2059_9,2026-04-13 22:49:07,PRIO3.SA,0.1416,1.0463301601984536,0.6415371645721666,,222.63306951344444,2562
STAB_20260409_2059_9,2026-04-13 22:49:07,VALE3.SA,0.1123,0.4719522575367337,0.5060786728466184,,21.066521594861594,2562
STAB_20260409_2059_9,2026-04-13 22:49:07,PNVL3.SA,0.1185,0.2367671834899153,0.3658947212190641,,2.731121699487337,2562
STAB_20260409_2059_9,2026-04-13 22:49:07,AURA33.SA,0.1625,0.4726960294320423,0.42084639694479525,,10.236824805538205,1389
STAB_20260409_2059_9,2026-04-15 23:11:41,DASA3.SA,0.0183,0.014290763743433545,0.6007468399689452,,-0.6572353131707933,2564
