run_id,run_timestamp,scoring_version,Stock,Name,Sector,Industry,CompositeScore,SharpeRatio,PotentialUpside_pct,Momentum,SharpeRatio_norm,PotentialUpside_pct_norm,Momentum_norm,sharpe_weight_used,upside_weight_used,momentum_weight_used,AnnualizedMeanReturn,AnnualizedStdDev,CurrentPrice,TargetPrice,forwardPE,forwardEps,SectorMedianPE
20250812-050603,2025-08-12 05:06:03,3.0.0,ABCB4.SA,Banco ABC Brasil S.A.,Financial Services,Banks - Regional,0.6083614624727987,0.007897364431757235,0.5707705421639959,0.02227484857143658,0.805342067754559,0.10125080780310115,0.3393451971363089,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.15287056950886735,0.36348449329805427,21.56999969482422,33.88152011511627,4.970046,4.34,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,ITSA4.SA,Itaúsa S.A.,Industrials,Conglomerates,0.6043594593873475,-0.12192852340398526,0.38862259802345767,0.21546049363788367,0.7650575500677473,0.08901469629744024,0.4124348589610916,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.11279704703751085,0.3051209997780811,10.90999984741211,15.14987233254893,6.4940476,1.68,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,CSED3.SA,Cruzeiro do Sul Educacional S.A.,Consumer Defensive,Education and Training Services,0.6030590234234584,-0.34175502605740343,0.20503065978959012,0.5848229213375873,0.6968461572415658,0.07668158192511036,0.552179066777705,0.6188139987986456,0.08126660041268753,0.2999194007886669,-0.029318333499286444,0.5246984530643507,5.050000190734863,6.085405061778788,6.4743595,0.78,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.,Industrials,Infrastructure Operations,0.6026571258305558,-0.21715890614822608,0.7458004910120068,0.34442264306444104,0.7355078962819324,0.11300875533877,0.46122626831525004,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.049535400217381766,0.46263172699002336,6.869999885559082,11.993649173461476,5.1654134,1.33,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil and Gas Integrated,0.6010503032900094,0.07343671919711282,0.006603926053177389,-0.12591990895791438,0.825678699687072,0.06335191382943585,0.28327734225868384,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.1878813312795079,0.5158363784992892,30.530000686645508,30.73161855358357,3.7972639,8.04,3.82234075
20250812-050603,2025-08-12 05:06:03,3.0.0,MRVE3.SA,MRV Engenharia e Participações S.A.,Real Estate,Real Estate - Development,0.6006390236680575,-0.126769082327367,0.5697620160712451,0.1821493700711625,0.7635555416100062,0.10118305827243532,0.3998319621171891,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.09028036580366543,0.4710898990505846,6.489999771118164,10.187755125012368,4.9923077,1.3,7.836735
20250812-050603,2025-08-12 05:06:03,3.0.0,CPFE3.SA,CPFL Energia S.A.,Utilities,Utilities - Regulated Electric,0.6003929050325749,-0.10353629478698537,0.07578923540966676,0.16443147274343128,0.7707645941047488,0.0679995598066338,0.3931285907384064,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.11892629701433921,0.3001237686706052,39.939998626708984,42.9670205848904,8.778021,4.55,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,GGBR4.SA,Gerdau S.A.,Basic Materials,Steel,0.5969065846221635,-0.017496024854669206,0.169520020171813,-0.016399522363567787,0.7974625881154025,0.07429609166854612,0.3247131747003074,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.14199243960964664,0.4576788417293749,16.389999389648438,19.168432416797643,5.67128,2.89,6.6326754999999995
20250812-050603,2025-08-12 05:06:03,3.0.0,SANB11.SA,Banco Santander (Brasil) S.A.,Financial Services,Banks - Regional,0.5941677216083022,-0.03868759297616057,0.2565344993385281,-0.008862620819583777,0.7908869188476398,0.08014144377896817,0.32756467841771353,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.13566006974647127,0.3706596650343443,26.84000015258789,33.72538615397804,6.2129626,4.32,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,FESA4.SA,Cia de Ferro Ligas da Bahia S.A. - FERBASA,Basic Materials,Steel,0.5930665910731111,0.04428945465695884,0.46232224959510226,-0.16888100099894687,0.8166344057217911,0.09396560122702434,0.2670234860892857,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.16874835004526076,0.42331408662569725,6.349999904632568,9.285746145470982,4.535714,1.4,6.6326754999999995
20250812-050603,2025-08-12 05:06:03,3.0.0,RECV3.SA,Petroreconcavo S.A.,Energy,Oil and Gas EandP,0.5895804427078883,-0.003210138670153084,0.03617667812720837,-0.09872266679559538,0.8018954484968392,0.06533851594901792,0.2935671193874498,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.14856581152021137,0.4467683882703532,13.279999732971191,13.760426008840303,3.688889,3.6,3.82234075
20250812-050603,2025-08-12 05:06:03,3.0.0,BRSR6.SA,Banco do Estado do Rio Grande do Sul S.A.,Financial Services,Banks - Regional,0.5888184889152341,-0.136494476690173,1.1965632268369384,0.06427844172498554,0.760537785846877,0.14328954233406557,0.35523679414375064,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.09223468655446089,0.4232062340270355,10.84000015258789,23.81074571408136,3.5540984,3.05,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,0.5875795238858581,-0.07171528805398207,0.4160525585754451,-0.01870832113111054,0.7806385408954667,0.09085735259253976,0.3238396661066273,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.11828152012912081,0.4422833782247909,10.670000076293944,15.109280908036233,6.66875,1.6,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,AZZA3.SA,Azzas 2154 S.A.,Consumer Cyclical,Footwear and Accessories,0.5868141260392798,-0.1259799918763784,0.642961426139516,0.055456188419198194,0.7638003936095517,0.10610035859097691,0.35189899173907,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.09737032777435721,0.4177621497014162,35.400001525878906,58.16083699229905,6.807693,5.2,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,DIRR3.SA,Direcional Engenharia S.A.,Real Estate,Real Estate - Development,0.5821078593615147,0.1729345036813492,1.4892508657959365,-0.5325578804951772,0.8565525132667261,0.1629513540746784,0.12943034283721297,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.28848222718835836,0.8007784695385431,13.66333293914795,34.01146334843217,3.1482303,4.34,7.836735
